date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
353,19-12-2021,19,12,December,4,2021,50,Sunday,TRUE
354,20-12-2021,20,12,December,4,2021,51,Monday,FALSE
355,21-12-2021,21,12,December,4,2021,51,Tuesday,FALSE
356,22-12-2021,22,12,December,4,2021,51,Wednesday,FALSE
357,23-12-2021,23,12,December,4,2021,51,Thursday,FALSE
358,24-12-2021,24,12,December,4,2021,51,Friday,FALSE
359,25-12-2021,25,12,December,4,2021,51,Saturday,TRUE
360,26-12-2021,26,12,December,4,2021,51,Sunday,TRUE
361,27-12-2021,27,12,December,4,2021,52,Monday,FALSE
362,28-12-2021,28,12,December,4,2021,52,Tuesday,FALSE
363,29-12-2021,29,12,December,4,2021,52,Wednesday,FALSE
364,30-12-2021,30,12,December,4,2021,52,Thursday,FALSE
365,31-12-2021,31,12,December,4,2021,52,Friday,FALSE
366,01-01-2022,1,1,January,1,2022,52,Saturday,TRUE
367,02-01-2022,2,1,January,1,2022,52,Sunday,TRUE
368,03-01-2022,3,1,January,1,2022,1,Monday,FALSE
369,04-01-2022,4,1,January,1,2022,1,Tuesday,FALSE
370,05-01-2022,5,1,January,1,2022,1,Wednesday,FALSE
371,06-01-2022,6,1,January,1,2022,1,Thursday,FALSE
372,07-01-2022,7,1,January,1,2022,1,Friday,FALSE
373,08-01-2022,8,1,January,1,2022,1,Saturday,TRUE
374,09-01-2022,9,1,January,1,2022,1,Sunday,TRUE
375,10-01-2022,10,1,January,1,2022,2,Monday,FALSE
376,11-01-2022,11,1,January,1,2022,2,Tuesday,FALSE
377,12-01-2022,12,1,January,1,2022,2,Wednesday,FALSE
378,13-01-2022,13,1,January,1,2022,2,Thursday,FALSE
379,14-01-2022,14,1,January,1,2022,2,Friday,FALSE
380,15-01-2022,15,1,January,1,2022,2,Saturday,TRUE
381,16-01-2022,16,1,January,1,2022,2,Sunday,TRUE
382,17-01-2022,17,1,January,1,2022,3,Monday,FALSE
383,18-01-2022,18,1,January,1,2022,3,Tuesday,FALSE
384,19-01-2022,19,1,January,1,2022,3,Wednesday,FALSE
385,20-01-2022,20,1,January,1,2022,3,Thursday,FALSE
386,21-01-2022,21,1,January,1,2022,3,Friday,FALSE
